#N/A,BJ Exclusive 12,二十一点独占 12,二十一點獨佔12,ブラックジャックエクスクルーシブ　12,BJ 익스클루지브 12,แบล็คแจ็คเอ็กซ์คลูซีฟ 12,BJ Độc Quyền 12,,,,,,,,,,,,,,,,,,
#N/A,BJ Exclusive 15,二十一点独占 15,二十一點獨佔15,ブラックジャックエクスクルーシブ　15,BJ 익스클루지브 15,แบล็คแจ็คเอ็กซ์คลูซีฟ 15,BJ Độc Quyền 15,,,,,,,,,,,,,,,,,,
#N/A,BJ Exclusive 16,二十一点独占 16,二十一點獨佔16,ブラックジャックエクスクルーシブ　16,BJ 익스클루지브 16,แบล็คแจ็คเอ็กซ์คลูซีฟ 16,BJ Độc Quyền 16,,,,,,,,,,,,,,,,,,
#N/A,BJ Exclusive 17,二十一点独占 17,二十一點獨佔17,ブラックジャックエクスクルーシブ　17,BJ 익스클루지브 17,แบล็คแจ็คเอ็กซ์คลูซีฟ 17,BJ Độc Quyền 17,,,,,,,,,,,,,,,,,,
#N/A,BJ Exclusive 18,二十一点独占 18,二十一點獨佔18,ブラックジャックエクスクルーシブ　18,BJ 익스클루지브 18,แบล็คแจ็คเอ็กซ์คลูซีฟ 18,BJ Độc Quyền 18,,,,,,,,,,,,,,,,,,
#N/A,BJ Francophone,法语二十一点,法語二十一點,ブラックジャック フランコフォン,프랑스 블랙잭,แบล็คแจ็คฟรังโกโฟน,Blackjack Francophone,,,,,,,,,,,,,,,,,,
#N/A,BJ Unibet A,Unibet 二十一点 A,Unibet二十一點A,ブラックジャック ユニベット A,블랙잭 유니벳 A,แบล็คแจ็คยูนิเบ็ตเอ,Blackjack Unibet A,,,,,,,,,,,,,,,,,,
#N/A,BJ Unibet B,Unibet 二十一点 B,Unibet二十一點B,ブラックジャック ユニベット B,블랙잭 유니벳 B,แบล็คแจ็คยูนิเบ็ตบี,Blackjack Unibet B,,,,,,,,,,,,,,,,,,
#N/A,Blackjack 1,二十一点1,二十一點1,ブラックジャック 1,블랙잭 1,แบล็คแจ็ค 1,Blackjack 1,,,,,,,,,,,,,,,,,,
#N/A,Blackjack 2,二十一点2,二十一點2,ブラックジャック 2,블랙잭 2,แบล็คแจ็ค 2,Blackjack 2,,,,,,,,,,,,,,,,,,
